Dataset,Classifier,Balancing,Precision,Recall,AUC,Kappa,NPofB20,PofB20
OPENJPA,RandomForest,No,0.8674,0.7305,0.9604,0.7460,0.6667,0.2339
OPENJPA,RandomForest,Undersampling,0.6013,0.8759,0.9394,0.6223,0.5851,0.2240
OPENJPA,RandomForest,Oversampling,0.7658,0.8133,0.9539,0.7331,0.6464,0.2813
OPENJPA,RandomForest,SMOTE,0.8191,0.8008,0.9615,0.7622,0.6614,0.2473
OPENJPA,NaiveBayes,No,0.6027,0.3674,0.7979,0.3579,0.1956,0.1379
OPENJPA,NaiveBayes,Undersampling,0.5802,0.3807,0.7938,0.3563,0.1956,0.1420
OPENJPA,NaiveBayes,Oversampling,0.5849,0.3780,0.7957,0.3568,0.1949,0.1390
OPENJPA,NaiveBayes,SMOTE,0.5812,0.3822,0.7995,0.3578,0.1985,0.1418
OPENJPA,Ibk,No,0.6052,0.5810,0.7599,0.4919,0.4300,0.4190
OPENJPA,Ibk,Undersampling,0.4349,0.7514,0.7579,0.3958,0.4437,0.3585
OPENJPA,Ibk,Oversampling,0.5396,0.6349,0.7610,0.4665,0.4362,0.2832
OPENJPA,Ibk,SMOTE,0.5592,0.6586,0.7782,0.4938,0.4494,0.3182
