Dataset,Classifier,FS,Balancing,Metric,Mean,StdDev,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
OPENJPA,RandomForest,No,No,Precision,0.8674,0.0049,0.8756,0.8622,0.8634,0.8693,0.8721,0.8691,0.8634,0.8722,0.8648,0.8618
OPENJPA,RandomForest,No,No,Recall,0.7305,0.0040,0.7335,0.7291,0.7265,0.7308,0.7308,0.7318,0.7328,0.7385,0.7265,0.7248
OPENJPA,RandomForest,No,No,AUC,0.9604,0.0014,0.9606,0.9619,0.9617,0.9601,0.9600,0.9584,0.9618,0.9617,0.9603,0.9578
OPENJPA,RandomForest,No,No,Kappa,0.7460,0.0050,0.7525,0.7422,0.7411,0.7472,0.7488,0.7478,0.7454,0.7541,0.7418,0.7390
OPENJPA,RandomForest,No,No,NPofB20,0.6667,0.0041,0.6680,0.6730,0.6680,0.6687,0.6647,0.6670,0.6683,0.6633,0.6683,0.6576
OPENJPA,RandomForest,No,No,PofB20,0.2339,0.0054,0.2365,0.2348,0.2335,0.2295,0.2365,0.2288,0.2345,0.2348,0.2452,0.2255
OPENJPA,NaiveBayes,No,No,Precision,0.6027,0.0014,0.6032,0.6021,0.6029,0.6052,0.6026,0.6047,0.6008,0.6022,0.6022,0.6013
OPENJPA,NaiveBayes,No,No,Recall,0.3674,0.0009,0.3661,0.3664,0.3687,0.3671,0.3667,0.3684,0.3674,0.3671,0.3681,0.3677
OPENJPA,NaiveBayes,No,No,AUC,0.7979,0.0009,0.7990,0.7984,0.7986,0.7987,0.7969,0.7974,0.7967,0.7982,0.7982,0.7969
OPENJPA,NaiveBayes,No,No,Kappa,0.3579,0.0009,0.3572,0.3569,0.3590,0.3588,0.3574,0.3596,0.3570,0.3575,0.3582,0.3575
OPENJPA,NaiveBayes,No,No,NPofB20,0.1956,0.0007,0.1957,0.1951,0.1957,0.1957,0.1947,0.1971,0.1961,0.1957,0.1954,0.1944
OPENJPA,NaiveBayes,No,No,PofB20,0.1379,0.0005,0.1379,0.1379,0.1379,0.1376,0.1386,0.1369,0.1376,0.1379,0.1379,0.1386
OPENJPA,RandomForest,Yes,No,Precision,0.8169,0.0050,0.8251,0.8180,0.8188,0.8234,0.8149,0.8107,0.8129,0.8197,0.8107,0.8145
OPENJPA,RandomForest,Yes,No,Recall,0.7199,0.0059,0.7231,0.7281,0.7214,0.7241,0.7104,0.7208,0.7141,0.7244,0.7208,0.7114
OPENJPA,RandomForest,Yes,No,AUC,0.9524,0.0012,0.9519,0.9519,0.9534,0.9532,0.9523,0.9500,0.9533,0.9527,0.9538,0.9511
OPENJPA,RandomForest,Yes,No,Kappa,0.7103,0.0058,0.7172,0.7163,0.7124,0.7169,0.7030,0.7072,0.7042,0.7149,0.7072,0.7034
OPENJPA,RandomForest,Yes,No,NPofB20,0.6559,0.0024,0.6590,0.6570,0.6573,0.6587,0.6516,0.6536,0.6553,0.6560,0.6570,0.6536
OPENJPA,RandomForest,Yes,No,PofB20,0.2360,0.0052,0.2415,0.2335,0.2311,0.2335,0.2361,0.2281,0.2345,0.2355,0.2442,0.2425
OPENJPA,NaiveBayes,Yes,No,Precision,0.6015,0.0034,0.6038,0.6052,0.5992,0.6020,0.6012,0.5997,0.6077,0.6004,0.6006,0.5955
