Dataset,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20
OPENJPA,RandomForest,No,No,0.8674,0.7305,0.9604,0.7460,0.6667
OPENJPA,NaiveBayes,No,No,0.6027,0.3674,0.7979,0.3579,0.1956
OPENJPA,Ibk,No,No,0.6052,0.5810,0.7599,0.4919,0.4300
OPENJPA,RandomForest,Yes,No,0.8169,0.7199,0.9524,0.7103,0.6559
OPENJPA,NaiveBayes,Yes,No,0.6015,0.3697,0.7873,0.3590,0.2065
OPENJPA,Ibk,Yes,No,0.7013,0.6451,0.8606,0.5930,0.5382
OPENJPA,RandomForest,No,Yes,0.7658,0.8133,0.9539,0.7331,0.6464
OPENJPA,NaiveBayes,No,Yes,0.5849,0.3780,0.7957,0.3568,0.1949
OPENJPA,Ibk,No,Yes,0.5396,0.6349,0.7610,0.4665,0.4362
OPENJPA,RandomForest,Yes,Yes,0.7165,0.8141,0.9434,0.6968,0.6365
OPENJPA,NaiveBayes,Yes,Yes,0.5785,0.3930,0.7855,0.3636,0.2147
OPENJPA,Ibk,Yes,Yes,0.6188,0.7307,0.8546,0.5773,0.5374
