Dataset,Classifier,FS,Balancing,Steps,Precision,Recall,AUC,Kappa,NPofB20,PofB20,AUCStdDev
OPENJPA,RandomForest,No,No,13,0.7985,0.5942,0.8827,0.5853,0.5292,0.1681,0.0858
OPENJPA,NaiveBayes,No,No,13,0.5679,0.4692,0.7883,0.3901,0.2816,0.1719,0.0731
OPENJPA,Ibk,No,No,13,0.5380,0.5193,0.6676,0.3474,0.3403,0.3403,0.1131
OPENJPA,RandomForest,Yes,No,13,0.7879,0.5736,0.8826,0.5767,0.5395,0.1681,0.0911
OPENJPA,NaiveBayes,Yes,No,13,0.5625,0.4912,0.7989,0.3993,0.2791,0.1626,0.0512
OPENJPA,Ibk,Yes,No,13,0.6998,0.5198,0.8062,0.4927,0.4407,0.3567,0.1183
OPENJPA,RandomForest,No,Yes,13,0.7165,0.6342,0.8772,0.5662,0.5075,0.2050,0.0912
OPENJPA,NaiveBayes,No,Yes,13,0.5537,0.4903,0.7923,0.3915,0.2835,0.1777,0.0686
OPENJPA,Ibk,No,Yes,13,0.4889,0.5801,0.6699,0.3361,0.3585,0.2397,0.1318
OPENJPA,RandomForest,Yes,Yes,13,0.7048,0.6785,0.8776,0.5861,0.5336,0.2563,0.0946
OPENJPA,NaiveBayes,Yes,Yes,13,0.5397,0.5203,0.7996,0.3998,0.2881,0.1657,0.0481
OPENJPA,Ibk,Yes,Yes,13,0.6281,0.6131,0.7867,0.5037,0.4404,0.2622,0.1126
