Dataset,Classifier,FS,Balancing,Step,TrainReleases,TrainRows,TestRelease,TestRows,Precision,Recall,AUC,Kappa,NPofB20,PofB20
OPENJPA,RandomForest,No,No,1,1-1,932,2,951,1.0000,0.0918,0.8334,0.1365,0.4058,0.1546
OPENJPA,RandomForest,No,No,2,1-2,1883,3,952,0.7538,0.4900,0.8455,0.5134,0.3950,0.1150
OPENJPA,RandomForest,No,No,3,1-3,2835,4,1002,0.6080,0.7379,0.8973,0.6038,0.3724,0.1586
OPENJPA,RandomForest,No,No,4,1-4,3837,5,1003,0.8911,0.6522,0.9528,0.7207,0.5942,0.2029
OPENJPA,RandomForest,No,No,5,1-5,4840,6,1008,0.9145,0.6646,0.9066,0.7340,0.6087,0.1677
OPENJPA,RandomForest,No,No,6,1-6,5848,7,1049,0.9412,0.4638,0.8568,0.5418,0.5000,0.0870
OPENJPA,RandomForest,No,No,7,1-7,6897,8,1008,0.8105,0.7299,0.9082,0.7107,0.6351,0.2417
OPENJPA,RandomForest,No,No,8,1-8,7905,9,1055,0.9058,0.9124,0.9757,0.8770,0.7336,0.2737
OPENJPA,RandomForest,No,No,9,1-9,8960,10,1166,0.9407,0.6737,0.8856,0.7058,0.5942,0.1910
OPENJPA,RandomForest,No,No,10,1-10,10126,11,1055,0.4773,0.3500,0.6377,0.2150,0.3867,0.1233
OPENJPA,RandomForest,No,No,11,1-11,11181,12,1243,0.6977,0.6849,0.9043,0.6259,0.5342,0.1689
OPENJPA,RandomForest,No,No,12,1-12,12424,13,1290,0.7674,0.8168,0.9725,0.7512,0.6287,0.1584
OPENJPA,RandomForest,No,No,13,1-13,13714,14,1055,0.6723,0.4571,0.8988,0.4735,0.4914,0.1429
OPENJPA,NaiveBayes,No,No,1,1-1,932,2,951,0.7069,0.3961,0.7737,0.4165,0.2222,0.1353
OPENJPA,NaiveBayes,No,No,2,1-2,1883,3,952,0.5974,0.4600,0.7732,0.4124,0.2550,0.1600
OPENJPA,NaiveBayes,No,No,3,1-3,2835,4,1002,0.4592,0.6207,0.8120,0.4336,0.2759,0.2966
OPENJPA,NaiveBayes,No,No,4,1-4,3837,5,1003,0.4675,0.5725,0.8244,0.4280,0.2681,0.2246
OPENJPA,NaiveBayes,No,No,5,1-5,4840,6,1008,0.5401,0.4596,0.8097,0.4100,0.2422,0.1801
OPENJPA,NaiveBayes,No,No,6,1-6,5848,7,1049,0.6122,0.3261,0.6569,0.2970,0.1884,0.1268
OPENJPA,NaiveBayes,No,No,7,1-7,6897,8,1008,0.5766,0.3744,0.8294,0.3463,0.2654,0.1280
OPENJPA,NaiveBayes,No,No,8,1-8,7905,9,1055,0.6557,0.4380,0.8679,0.4005,0.4161,0.1423
OPENJPA,NaiveBayes,No,No,9,1-9,8960,10,1166,0.6739,0.4934,0.8632,0.4078,0.5836,0.1061
OPENJPA,NaiveBayes,No,No,10,1-10,10126,11,1055,0.5040,0.4233,0.6231,0.2708,0.2033,0.1433
OPENJPA,NaiveBayes,No,No,11,1-11,11181,12,1243,0.5828,0.4338,0.8025,0.4084,0.2283,0.1735
OPENJPA,NaiveBayes,No,No,12,1-12,12424,13,1290,0.5889,0.5248,0.8398,0.4779,0.2723,0.2129
OPENJPA,NaiveBayes,No,No,13,1-13,13714,14,1055,0.4174,0.5771,0.7725,0.3615,0.2400,0.2057
OPENJPA,Ibk,No,No,1,1-1,932,2,951,0.8000,0.1932,0.5899,0.2476,0.1787,0.1787
OPENJPA,Ibk,No,No,2,1-2,1883,3,952,0.3697,0.6100,0.6670,0.2692,0.2900,0.2900
OPENJPA,Ibk,No,No,3,1-3,2835,4,1002,0.4265,0.6207,0.7340,0.4033,0.3517,0.3517
OPENJPA,Ibk,No,No,4,1-4,3837,5,1003,0.5541,0.5942,0.7544,0.5026,0.4348,0.4348
OPENJPA,Ibk,No,No,5,1-5,4840,6,1008,0.6544,0.5528,0.7412,0.5307,0.4348,0.4348
OPENJPA,Ibk,No,No,6,1-6,5848,7,1049,0.6688,0.3804,0.6560,0.3636,0.2935,0.2935
OPENJPA,Ibk,No,No,7,1-7,6897,8,1008,0.7037,0.6303,0.7750,0.5824,0.5071,0.5071
OPENJPA,Ibk,No,No,8,1-8,7905,9,1055,0.6507,0.4964,0.7024,0.4365,0.3905,0.3905
OPENJPA,Ibk,No,No,9,1-9,8960,10,1166,0.8273,0.5464,0.7547,0.5398,0.4350,0.4350
OPENJPA,Ibk,No,No,10,1-10,10126,11,1055,0.2205,0.6733,0.3638,-0.1683,0.2233,0.2233
OPENJPA,Ibk,No,No,11,1-11,11181,12,1243,0.4228,0.4749,0.6691,0.3207,0.2877,0.2877
OPENJPA,Ibk,No,No,12,1-12,12424,13,1290,0.4933,0.5495,0.7230,0.4250,0.3911,0.3911
OPENJPA,Ibk,No,No,13,1-13,13714,14,1055,0.2016,0.4286,0.5480,0.0628,0.2057,0.2057
OPENJPA,RandomForest,Yes,No,1,1-1,932,2,951,0.9053,0.4155,0.8435,0.5012,0.4010,0.2077
