Feature,MeanA,MeanBPlus,MeanC,SpearmanWithNSmells,SpearmanWithBuggy,Direction
LOC,227.061,283.469,63.017,0.770,0.342,positive
LOC_touched,673.351,843.593,178.257,0.668,0.257,positive
NR,8.013,8.811,5.692,0.387,0.164,positive
NFix,0.657,0.831,0.151,0.371,0.300,positive
NAuth,2.849,3.046,2.274,0.367,0.204,positive
LOC_added,450.139,563.465,120.569,0.718,0.290,positive
MAX_LOC_added,218.668,273.014,60.620,0.761,0.331,positive
AVG_LOC_added,48.055,56.519,23.443,0.639,0.320,positive
Churn,226.927,283.336,62.880,0.769,0.343,positive
MAX_Churn,212.355,265.046,59.121,0.756,0.334,positive
AVG_Churn,29.767,34.869,14.930,0.571,0.325,positive
ChgSetSize,5886.958,5989.586,5588.498,0.135,-0.050,negative
MAX_ChgSet,1727.886,1734.850,1707.634,-0.001,-0.072,negative
AVG_ChgSet,730.075,698.922,820.671,-0.300,-0.303,negative
Age,669.720,676.336,650.479,0.034,-0.036,negative
WeightedAge,537.245,544.114,517.268,0.042,-0.063,negative
NSmells,14.522,19.515,0.000,1.000,0.310,positive
