Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1,openjpa-kernel,PCEnhancer,class,698,5809,3958,133,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java
2,openjpa-kernel,BrokerImpl,class,360,5511,4162,296,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
3,openjpa-kernel,DelegatingBroker,class,329,1675,1426,184,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java
4,openjpa-jdbc,DBDictionary,class,276,6122,3959,342,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
5,openjpa-jdbc,SelectImpl,class,230,3627,2703,305,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
6,openjpa-persistence,Expressions,class,213,2098,1678,280,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Expressions.java
7,openjpa-kernel,JPQLExpressionBuilder,class,206,2591,1870,120,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java
8,openjpa-persistence,XMLPersistenceMetaDataParser,class,175,3001,2274,165,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
9,openjpa-jdbc,PCPath,class,175,1208,947,68,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java
10,openjpa-kernel,ClassMetaData,class,174,2870,1864,167,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
11,openjpa-jdbc,OracleDictionary,class,157,1617,1229,71,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
12,openjpa-kernel,FieldMetaData,class,156,2589,1702,184,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java
13,openjpa-kernel,DelegatingQuery,class,144,743,614,78,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java
14,openjpa-kernel,StateManagerImpl,class,143,3707,2646,192,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
15,openjpa-kernel,PCDataGenerator,class,143,1310,955,33,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java
16,openjpa-kernel,QueryImpl,class,130,2448,1846,181,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java
