Rank,Module,Class,SonarSmells,PmdSmells,LOC,NCSS,Methods,LinesPerMethod,Path
1,openjpa-kernel,PCEnhancer,217,698,5809,3958,133,29.76,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java
2,openjpa-jdbc,DBDictionary,203,276,6122,3959,342,11.58,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
3,openjpa-persistence,XMLPersistenceMetaDataParser,182,175,3001,2274,165,13.78,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java
4,openjpa-kernel,BrokerImpl,150,360,5511,4162,296,14.06,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
5,openjpa-jdbc,SelectImpl,126,230,3627,2703,305,8.86,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
6,openjpa-kernel,FieldMetaData,123,156,2589,1702,184,9.25,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java
7,openjpa-kernel,ClassMetaData,92,174,2870,1864,167,11.16,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java
8,openjpa-kernel,MetaDataRepository,83,108,2588,1622,140,11.59,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java
9,openjpa-persistence-jdbc,XMLPersistenceMappingParser,75,96,1857,1477,86,17.17,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser.java
10,openjpa-jdbc,OracleDictionary,73,157,1617,1229,71,17.31,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java
11,openjpa-persistence,AnnotationPersistenceMetaDataParser,71,119,2243,1709,96,17.80,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser.java
12,openjpa-kernel,PCDataGenerator,68,143,1310,955,33,28.94,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator.java
13,openjpa-jdbc,SchemaGenerator,68,68,1086,715,44,16.25,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java
14,openjpa-kernel,QueryImpl,67,130,2448,1846,181,10.20,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java
15,openjpa-jdbc,MappingRepository,67,107,1624,1203,84,14.32,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java
16,openjpa-kernel,ProxyManagerImpl,66,111,2045,1511,72,20.99,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java
17,openjpa-jdbc,Table,65,46,982,648,81,8.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java
18,openjpa-jdbc,ReverseMappingTool,58,96,2322,1497,122,12.27,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java
19,openjpa-kernel,JPQLExpressionBuilder,57,206,2591,1870,120,15.58,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java
20,openjpa-jdbc,JDBCStoreManager,55,105,1990,1484,121,12.26,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java
21,openjpa-kernel,Reflection,55,93,1006,624,67,9.31,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java
22,openjpa-kernel,StateManagerImpl,54,143,3707,2646,192,13.78,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java
23,openjpa-jdbc,SchemaTool,54,109,1736,1136,74,15.35,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java
24,openjpa-kernel,TCPRemoteCommitProvider,52,78,958,640,49,13.06,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java
25,openjpa-persistence,XMLPersistenceMetaDataSerializer,51,57,1539,1102,90,12.24,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java
26,openjpa-persistence,AnnotationPersistenceMetaDataSerializer,50,56,1570,1102,100,11.02,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer.java
27,openjpa-jdbc,ForeignKey,50,79,1030,658,67,9.82,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java
28,openjpa-jdbc,TableJDBCSeq,49,57,1000,624,49,12.73,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java
29,openjpa-lib,LoggingConnectionDecorator,48,73,2515,2054,216,9.51,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java
30,openjpa-kernel,ApplicationIdTool,48,57,1488,1038,48,21.63,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java
31,openjpa-lib,ConfigurationImpl,48,73,1172,773,66,11.71,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java
32,openjpa-kernel,AbstractCFMetaDataFactory,45,96,1125,820,32,25.63,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java
33,openjpa-persistence,PersistenceProductDerivation,44,97,1034,764,43,17.77,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java
34,openjpa-jdbc,MappingTool,43,61,1232,747,54,13.83,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java
35,openjpa-jdbc,ClassMappingInfo,43,20,681,452,55,8.22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java
36,openjpa-jdbc,PostgresDictionary,42,82,1135,809,57,14.19,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java
37,openjpa-lib,Files,42,41,328,216,11,19.64,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java
38,openjpa-jdbc,DB2Dictionary,41,61,1283,936,54,17.33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java
39,openjpa-persistence,PersistenceMetaDataDefaults,40,52,998,711,44,16.16,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java
40,openjpa-persistence,CriteriaQueryImpl,40,47,799,537,49,10.96,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java
41,openjpa-persistence,PersistenceMetaDataFactory,40,15,641,473,46,10.28,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java
42,openjpa-persistence-jdbc,AnnotationPersistenceMappingParser,37,67,2265,1858,83,22.39,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingParser.java
43,openjpa-jdbc,MappingInfo,37,121,1927,1278,59,21.66,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java
44,openjpa-lib,ClassArgParser,37,64,642,457,23,19.87,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java
45,openjpa-xmlstore,XMLFileHandler,34,63,662,461,19,24.26,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLFileHandler.java
